Country,Happiness_rank,Happiness_score,GDP_per_capita,Social_support,Life_expectancy,Freedom,Generosity,Corruption,Year,id,gdp_norm,social_norm,life_norm,free_norm,gen_norm,corruption_norm,Country_bias
Bangladesh,110,4.643,0.5418,0.2475,0.5299,0.3978,0.1913,0.1258,2016,50,-0.763,-0.761,-0.952,-0.157,0.064,-0.441,9.66
Bangladesh,110,4.608,0.5867,0.7351,0.5332,0.4784,0.1723,0.1237,2017,50,-0.743,-0.289,-0.952,0.013,-0.042,-0.451,8.715
Gabon,108,4.8293,9.6805,0.7879,59.7153,0.7048,-0.2223,0.8492,2020,266,3.238,-0.238,4.407,0.493,-2.237,2.771,-9.227
Gabon,104,4.799,1.057,1.183,0.571,0.295,0.043,0.055,2019,266,-0.537,0.144,-0.948,-0.375,-0.761,-0.756,10.187
Gabon,103,4.758,1.036,1.164,0.404,0.356,0.032,0.052,2018,266,-0.546,0.125,-0.963,-0.246,-0.822,-0.769,10.126
Gabon,143,3.896,1.0602,0.9053,0.4337,0.3191,0.0682,0.1109,2015,266,-0.536,-0.125,-0.961,-0.324,-0.621,-0.507,9.019
Gabon,134,4.121,1.1585,0.7237,0.3494,0.281,0.0624,0.0931,2016,266,-0.493,-0.3,-0.968,-0.405,-0.653,-0.587,9.798
Gabon,118,4.465,1.1982,1.1556,0.3566,0.3123,0.0438,0.076,2017,266,-0.475,0.117,-0.968,-0.339,-0.756,-0.662,9.603
South Africa,109,4.8141,9.4034,0.8525,56.506,0.7593,-0.1098,0.8434,2020,710,3.117,-0.176,4.116,0.608,-1.611,2.746,-9.853
South Africa,106,4.722,0.96,1.351,0.469,0.389,0.13,0.055,2019,710,-0.58,0.306,-0.958,-0.176,-0.277,-0.756,8.79
South Africa,105,4.724,0.94,1.41,0.33,0.516,0.103,0.056,2018,710,-0.588,0.363,-0.97,0.093,-0.427,-0.751,8.524
South Africa,113,4.642,0.9205,1.1847,0.2769,0.3321,0.1197,0.0888,2015,710,-0.597,0.145,-0.975,-0.297,-0.334,-0.606,9.082
South Africa,116,4.459,1.0242,0.9605,0.1861,0.4248,0.1366,0.0842,2016,710,-0.552,-0.071,-0.983,-0.1,-0.24,-0.626,8.746
South Africa,101,4.829,1.0547,1.3848,0.1871,0.4792,0.1394,0.0725,2017,710,-0.538,0.339,-0.983,0.015,-0.225,-0.678,8.279
Iraq,110,4.7848,9.6611,0.7477,59.9035,0.6332,-0.0696,0.8223,2020,368,3.23,-0.277,4.424,0.341,-1.387,2.652,-10.187
Iraq,126,4.437,1.043,0.98,0.574,0.241,0.148,0.089,2019,368,-0.543,-0.053,-0.948,-0.49,-0.177,-0.605,9.13
Iraq,117,4.456,1.01,0.971,0.536,0.304,0.148,0.095,2018,368,-0.558,-0.061,-0.951,-0.356,-0.177,-0.578,8.924
Iraq,112,4.677,0.9855,0.8189,0.6024,0.0,0.1792,0.1379,2015,368,-0.569,-0.208,-0.945,-1.0,-0.003,-0.388,9.865
Iraq,112,4.575,1.0747,0.592,0.5108,0.2486,0.1959,0.1364,2016,368,-0.529,-0.428,-0.954,-0.473,0.09,-0.394,9.055
Iraq,117,4.497,1.1027,0.9786,0.5012,0.2886,0.1996,0.1072,2017,368,-0.517,-0.054,-0.955,-0.389,0.11,-0.524,8.379
Lebanon,111,4.7715,9.3617,0.8243,67.1066,0.5514,-0.0612,0.9023,2020,422,3.099,-0.203,5.076,0.168,-1.34,3.007,-11.574
Lebanon,91,5.197,0.987,1.224,0.815,0.216,0.166,0.027,2019,422,-0.568,0.183,-0.926,-0.542,-0.077,-0.88,9.88
Lebanon,80,5.358,0.965,1.179,0.785,0.503,0.214,0.136,2018,422,-0.578,0.14,-0.929,0.065,0.19,-0.396,7.871
Lebanon,103,4.839,1.0256,0.8,0.8395,0.3392,0.2185,0.0458,2015,422,-0.551,-0.227,-0.924,-0.282,0.215,-0.797,9.116
Lebanon,93,5.129,1.1227,0.6418,0.7617,0.2623,0.2369,0.0306,2016,422,-0.508,-0.38,-0.931,-0.444,0.318,-0.864,9.811
Lebanon,88,5.225,1.075,1.1296,0.7351,0.2885,0.2645,0.0375,2017,422,-0.529,0.092,-0.933,-0.389,0.471,-0.833,8.76
Burkina Faso,112,4.7687,7.4685,0.7129,53.8895,0.6656,-0.0191,0.7398,2020,854,2.27,-0.311,3.879,0.41,-1.106,2.286,-7.611
Burkina Faso,115,4.587,0.331,1.056,0.38,0.255,0.177,0.113,2019,854,-0.855,0.021,-0.966,-0.46,-0.015,-0.498,9.209
Burkina Faso,121,4.424,0.314,1.097,0.254,0.312,0.175,0.128,2018,854,-0.863,0.06,-0.977,-0.339,-0.027,-0.432,8.721
Burkina Faso,152,3.587,0.2581,0.8519,0.2712,0.3949,0.2175,0.1283,2015,854,-0.887,-0.176,-0.975,-0.164,0.21,-0.43,7.624
Burkina Faso,145,3.739,0.32,0.6305,0.213,0.3337,0.2435,0.1253,2016,854,-0.86,-0.39,-0.981,-0.293,0.355,-0.444,8.094
Burkina Faso,134,4.032,0.3502,1.0433,0.2158,0.3244,0.2509,0.1203,2017,854,-0.847,0.009,-0.98,-0.313,0.396,-0.466,7.7
Gambia,113,4.7506,7.3218,0.6932,55.012,0.7332,0.3432,0.6907,2020,270,2.206,-0.33,3.981,0.553,0.909,2.068,-10.894
Gambia,120,4.516,0.308,0.939,0.428,0.382,0.269,0.167,2019,270,-0.865,-0.092,-0.961,-0.191,0.496,-0.258,7.634
Mali,114,4.7293,7.6299,0.7315,51.727,0.7116,-0.0444,0.8393,2020,466,2.34,-0.293,3.684,0.507,-1.247,2.727,-8.134
Mali,128,4.39,0.385,1.105,0.308,0.327,0.153,0.052,2019,466,-0.831,0.068,-0.972,-0.307,-0.149,-0.769,9.323
Mali,118,4.447,0.37,1.233,0.152,0.367,0.139,0.056,2018,466,-0.838,0.192,-0.986,-0.223,-0.227,-0.751,9.169
Mali,138,3.995,0.2607,1.0353,0.2058,0.3886,0.188,0.1235,2015,466,-0.886,0.001,-0.981,-0.177,0.046,-0.452,8.077
Mali,135,4.073,0.3129,0.8633,0.1635,0.2754,0.2106,0.1365,2016,466,-0.863,-0.165,-0.985,-0.417,0.172,-0.394,8.493
Mali,127,4.19,0.4762,1.2815,0.1694,0.3066,0.1834,0.105,2017,466,-0.792,0.239,-0.985,-0.351,0.02,-0.534,8.195
Nigeria,115,4.7241,8.5766,0.7372,49.8619,0.7596,0.0337,0.8619,2020,566,2.755,-0.287,3.515,0.609,-0.813,2.828,-9.621
Nigeria,85,5.265,0.696,1.111,0.245,0.426,0.215,0.041,2019,566,-0.695,0.074,-0.978,-0.098,0.196,-0.818,9.13
Nigeria,91,5.155,0.689,1.172,0.048,0.462,0.201,0.032,2018,566,-0.698,0.133,-0.996,-0.021,0.118,-0.858,9.025
Nigeria,78,5.268,0.6544,0.9043,0.1601,0.3433,0.2723,0.0403,2015,566,-0.713,-0.126,-0.986,-0.273,0.515,-0.821,9.275
Nigeria,103,4.875,0.7522,0.645,0.0511,0.2785,0.2322,0.0305,2016,566,-0.671,-0.376,-0.995,-0.41,0.292,-0.865,9.917
Nigeria,95,5.074,0.7838,1.2158,0.0569,0.395,0.2309,0.0261,2017,566,-0.657,0.175,-0.995,-0.163,0.284,-0.884,8.807
Armenia,116,4.6768,9.1005,0.7575,66.7507,0.712,-0.1388,0.7735,2020,51,2.984,-0.268,5.044,0.508,-1.772,2.435,-10.208
Armenia,116,4.559,0.85,1.055,0.815,0.283,0.095,0.064,2019,51,-0.628,0.02,-0.926,-0.401,-0.472,-0.716,9.764
Armenia,129,4.321,0.816,0.99,0.666,0.26,0.077,0.028,2018,51,-0.643,-0.043,-0.94,-0.449,-0.572,-0.876,10.193
Armenia,127,4.35,0.7682,0.7771,0.7299,0.1985,0.0786,0.039,2015,51,-0.664,-0.249,-0.934,-0.58,-0.563,-0.827,10.712
Armenia,121,4.36,0.8609,0.6248,0.6408,0.1404,0.0779,0.0362,2016,51,-0.623,-0.396,-0.942,-0.703,-0.567,-0.839,11.143
Armenia,121,4.376,0.9006,1.0075,0.6375,0.1983,0.0835,0.0267,2017,51,-0.606,-0.026,-0.942,-0.58,-0.536,-0.881,10.328
Georgia,117,4.6726,9.2261,0.629,64.4952,0.8016,-0.2289,0.6659,2020,268,3.039,-0.392,4.84,0.698,-2.273,1.957,-8.442
Georgia,119,4.519,0.886,0.666,0.752,0.346,0.043,0.164,2019,268,-0.612,-0.356,-0.932,-0.267,-0.761,-0.272,9.852
Georgia,128,4.34,0.853,0.592,0.643,0.375,0.038,0.215,2018,268,-0.627,-0.428,-0.942,-0.206,-0.789,-0.045,9.402
Georgia,130,4.297,0.7419,0.3856,0.7293,0.4058,0.0555,0.3833,2015,268,-0.675,-0.627,-0.934,-0.14,-0.691,0.702,8.239
Georgia,126,4.252,0.8379,0.1925,0.6404,0.3246,0.0679,0.3188,2016,268,-0.633,-0.814,-0.942,-0.312,-0.622,0.416,9.097
Georgia,125,4.286,0.9506,0.5706,0.6495,0.3094,0.054,0.2517,2017,268,-0.584,-0.448,-0.941,-0.345,-0.7,0.118,9.119
Iran,118,4.6724,9.8137,0.6947,66.0061,0.6479,0.1179,0.7146,2020,364,3.297,-0.328,4.976,0.372,-0.344,2.174,-12.239
Iran,117,4.548,1.1,0.842,0.785,0.305,0.27,0.125,2019,364,-0.518,-0.186,-0.929,-0.354,0.502,-0.445,7.765
Iran,106,4.707,1.059,0.771,0.691,0.459,0.282,0.129,2018,364,-0.536,-0.255,-0.937,-0.028,0.569,-0.427,7.397
Iran,110,4.686,1.0088,0.5445,0.698,0.3003,0.3809,0.0586,2015,364,-0.558,-0.474,-0.937,-0.364,1.119,-0.74,7.943
Iran,105,4.813,1.1176,0.3886,0.6423,0.2254,0.3854,0.0557,2016,364,-0.511,-0.624,-0.942,-0.523,1.144,-0.753,8.495
Iran,108,4.692,1.1569,0.7116,0.6393,0.2493,0.3872,0.0488,2017,364,-0.494,-0.312,-0.942,-0.472,1.154,-0.783,7.774
Jordan,119,4.6334,9.026,0.8022,66.7998,0.751,-0.1626,0.7003,2020,400,2.952,-0.225,5.048,0.591,-1.904,2.11,-9.653
Jordan,101,4.906,0.837,1.225,0.815,0.383,0.11,0.13,2019,400,-0.634,0.184,-0.926,-0.189,-0.388,-0.423,8.866
Jordan,90,5.161,0.822,1.265,0.645,0.468,0.13,0.134,2018,400,-0.64,0.223,-0.942,-0.009,-0.277,-0.405,8.578
Jordan,82,5.192,0.902,1.0539,0.6964,0.4066,0.1105,0.1429,2015,400,-0.605,0.019,-0.937,-0.139,-0.385,-0.365,9.212
Jordan,80,5.303,0.9967,0.8622,0.6071,0.3602,0.1426,0.133,2016,400,-0.564,-0.167,-0.945,-0.237,-0.207,-0.409,9.518
Jordan,74,5.336,0.991,1.2391,0.6046,0.4184,0.1722,0.1198,2017,400,-0.566,0.198,-0.945,-0.114,-0.042,-0.468,8.564
